value
Apis mellifera
Panicum racemosum
Panicum schinzii
Parapholis strigosa
Paspalum conjugatum
Paspalum dasypleurum
Paspalum exaltatum
Paspalum fasciculatum
Paspalum lepton
Paspalum mandiocanum
Paspalum notatum
Paspalum paniculatum
Paspalum plicatulum
Paspalum quadrifarium
Paspalum regnellii
Paspalum virgatum
Perotis indica
Phalaris angusta
Phalaris aquatica
Phalaris aquatica x arundinacea
Phalaris coerulescens
Phalaris lemmonii
Phleum arenarium
Phleum subulatum
Pholiurus pannonicus
Phyllostachys aurea
Phyllostachys nigra
Phyllostachys reticulata
Piptochaetium montevidense
Poa bulbosa
Poa colensoi
Poa compressa
Poa infirma
Poa trivialis
Polypogon chilensis
Polypogon maritimus
Puccinellia ciliata
Puccinellia distans
Puccinellia fasciculata
Relchela panicoides
Rostraria pumila
Saccharum spontaneum
Sacciolepis interrupta
Schizachyrium condensatum
Sclerochloa dura
Scolochloa festucacea
Setaria barbata
Setaria helvola
Setaria incrassata
Setaria palmifolia
Setaria poiretiana
Sorghum arundinaceum
Sphenopus divaricatus
Sporobolus africanus
Sporobolus anglicus
Sporobolus coromandelianus
Sporobolus maritimus
Sporobolus natalensis
Stapfochloa ciliata
Stenotaphrum secundatum
Taeniatherum caput-medusae
Themeda quadrivalvis
Tribolium acutiflorum
Tribolium echinatum
Tribolium obliterum
Tribolium uniolae
Tripsacum dactyloides
Trisetum flavescens
Urochloa oligotricha
Urochloa trichopus
Vulpia ciliata
Vulpia fasciculata
Vulpia muralis
Sparganium erectum
Typha latifolia
Canna generalis
Thalia geniculata
Thaumatococcus daniellii
Musa acuminata
Curcuma longa
Hedychium flavescens
Hedychium gardnerianum
Kaempferia galanga
Zingiber officinale
Zingiber zerumbet
Lycopodium clavatum
Selaginella kraussiana
Selaginella plana
Selaginella umbrosa
Selaginella vogelii
Selaginella willdenowii
Berula erecta
Bifora testiculata
Bupleurum lancifolium
Bupleurum rotundifolium
Bupleurum semicompositum
Daucus decipiens
Eryngium campestre
Eryngium maritimum
Eryngium pandanifolium
Ferula communis
Heracleum mantegazzianum
Oenanthe pimpinelloides
Scandix pecten-veneris
Tordylium apulum
Torilis arvensis
Polyscias scutellaria
Schefflera arboricola
Griselinia littoralis
Pittosporum crassifolium
Pittosporum eugenioides
Pittosporum ralphii
Pittosporum tenuifolium
Ilex aquifolium
Acanthospermum australe
Acanthospermum hispidum
Achillea distans
Achillea ptarmica
Ageratina ligustrina
Ageratina riparia
Ambrosia confertiflora
Ambrosia tenuifolia
Anacyclus radiatus
Anaphalis margaritacea
Anthemis arvensis
Arctotheca calendula
Arctotheca populifolia
Arctotheca prostrata
Argentipallium dealbatum
Artemisia ludoviciana
Artemisia scoparia
Artemisia thuscula
Baccharis halimifolia
Bartlettina sordida
Berkheya rigida
Bidens bipinnata
Bidens subalternans
Bidens tripartita
Blainvillea acmella
Blainvillea gayana
Brachylaena discolor
Calendula arvensis
Calendula palaestina
Calyptocarpus vialis
Carpesium cernuum
Carthamus dentatus
Carthamus glaucus
Carthamus leucocaulos
Centaurea aspera
Centaurea cineraria
Centaurea eriophora
Centaurea nigra
Centaurea nigrescens
Centaurea paniculata
Centaurea scabiosa
Chamaemelum nobile
Chromolaena squalida
Chrysocoma cernua
Cichorium endivia
Cineraria lyratiformis
Cirsium arvense
Coreopsis grandiflora
Coreopsis lanceolata
Coreopsis tinctoria
Cosmos bipinnatus
Cotula bipinnata
Cotula turbinata
Crassocephalum crepidioides
Crepis dioscoridis
Crepis pusilla
Crupina vulgaris
Dimorphotheca pluvialis
Dimorphotheca sinuata
Dittrichia graveolens
Dittrichia viscosa
Echinops sphaerocephalus
Elephantopus mollis
Eleutheranthera ruderalis
Emilia sonchifolia
Eschenbachia leucantha
Ethulia conyzoides
Euchiton audax
Eupatorium serotinum
Euryops chrysanthemoides
Facelis retusa
Felicia petiolata
Filago pygmaea
Filago pyramidata
Florestina tripteris
Gaillardia aristata
Gaillardia grandiflora
Gaillardia pulchella
Galactites tomentosa
Gamochaeta antillanum
Gazania linearis
Gazania serrata
Glebionis coronaria
Gorteria personata
Guizotia abyssinica
Gymnocoronis spilanthoides
Helenium amarum
Helianthus argophyllus
Helianthus ciliaris
Helianthus debilis
Heterotheca grandiflora
Hieracium murorum
Hippia pilosa
Iva axillaris
Lactuca saligna
Lactuca virosa
Lasiospermum bipinnatum
Leontodon saxatilis
Leucanthemum maximum
Madia sativa
Mantisalca salmantica
Mauranthemum paludosum
Mikania cordata
Mikania micrantha
Montanoa bipinnatifida
Montanoa hibiscifolia
Notobasis syriaca
Oncosiphon piluliferum
Onopordum acaulon
Onopordum illyricum
Onopordum nervosum
Onopordum tauricum
Osteospermum ecklonis
Osteospermum fruticosum
Osteospermum moniliferum
Osteospermum monstrosum
Osteospermum muricatum
Othonna daucifolia
Palafoxia rosea
Pallenis spinosa
Parthenium hysterophorus
Pascalia glauca
Pentzia incana
Petasites pyrenaicus
Picnomon acarna
Picris hieracioides
Podocoma hieracifolia
Praxelis clematidea
Pseudelephantopus spicatus
Reichardia tingitana
Roldana petasitis
Scolymus hispanicus
Scolymus maculatus
Scorzonera hispanica
Senecio crassiflorus
Senecio macroglossus
Senecio pterophorus
Senecio tamoides
Solidago sempervirens
Soliva sessilis
Sonchus arvensis
Sonchus tenerrimus
Sphagneticola trilobata
Stevia eupatoria
Symphyotrichum subulatum
Taraxacum bracteatum
Taraxacum pseudocalocephalum
Thymophylla tenuiloba
Tithonia rotundifolia
Tolpis barbata
Tolpis virgata
Tragopogon hybridus
Tripleurospermum maritimum
Urospermum dalechampii
Urospermum picroides
Ursinia anthemoides
Ursinia speciosa
Vernonia junghuhniana
Xanthium strumarium
Zinnia peruviana
Campanula rapunculoides
Grammatotheca bergiana
Hippobroma longiflora
Lobelia laxiflora
Lobelia pedunculata
Monopsis debilis
Trachelium caeruleum
Triodanis perfoliata
Wahlenbergia capensis
Amsinckia calycina
Amsinckia lycopsoides
Amsinckia menziesii
Echium candicans
Echium italicum
Echium simplex
Lithospermum officinale
Lycopsis arvensis
Myosotis arvensis
Myosotis laxa
Myosotis sylvatica
Neatostema apulum
Nonea lutea
Pentaglottis sempervirens
Plagiobothrys canescens
Symphytum officinale
Symphytum uplandicum
Trachystemon orientalis
Cordia sinensis
Heliotropium amplexicaule
Heliotropium europaeum
Wigandia urens
Alyssum linifolium
Arabidopsis thaliana
Barbarea intermedia
Barbarea verna
Brassica barrelieri
Brassica elongata
Brassica fruticulosa
Brassica napus
Brassica oleracea
Brassica tournefortii
Cakile edentula
Cakile maritima
Calepina irregularis
Camelina sativa
Cardamine corymbosa
Cardamine flexuosa
Carrichtera annua
Conringia orientalis
Crambe hispanica
Draba nemorosa
Erucastrum austroafricanum
Euclidium syriacum
Heliophila pusilla
Hesperis matronalis
Iberis amara
Lepidium africanum
Lepidium aucheri
Lepidium campestre
Lepidium coronopus
Lepidium ecklonii
Lepidium englerianum
Lepidium heterophyllum
Lepidium latifolium
Lepidium sativum
Lepidium strictum
Malcolmia flexuosa
Matthiola longipetala
Myagrum perfoliatum
Nasturtium microphyllum
Rorippa indica
Sinapis alba
Sisymbrium erysimoides
Sisymbrium runcinatum
Succowia balearica
Teesdalia nudicaulis
Turritis glabra
Crateva adansonii
Corynandra simplicifolia
Polanisia uniglandulosa
Reseda alba
Reseda lutea
Reseda odorata
Reseda phyteuma
Tropaeolum speciosum
Aizoon pubescens
Carpanthea pomeridiana
Carpobrotus aequilaterus x Sarcozona bicarinata
Carpobrotus edulis x virescens
Cleretum papulosum
Conicosia pugioniformis
Drosanthemum candens
Galenia secunda
Lampranthus glaucus
Lampranthus immelmaniae
Lampranthus multiradiatus
Lampranthus tegens
Malephora crocea
Mesembryanthemum aitonis
Mesembryanthemum granulicaule
Mesembryanthemum leptarthron
Ruschia geminiflora
Tetragonia decumbens
Tetragonia nigrescens
Trianthema portulacastrum
Aerva javanica
Alternanthera brasiliana
Alternanthera ficoidea
Alternanthera philoxeroides
Amaranthus blitum
Amaranthus dubius
Amaranthus powellii
Amaranthus quitensis
Atriplex patula
Atriplex prostrata
Bassia hyssopifolia
Blitum spathulatum
Chenopodium detestans
Chenopodium giganteum
Chenopodium vulvaria
Froelichia floridana
Froelichia gracilis
Gomphrena serrata
Oxybasis glauca
Oxybasis rubra
Pupalia lappacea
Pupalia micrantha
Suaeda aegyptiaca
Suaeda baccifera
Suaeda linifolia
Basella alba
Austrocylindropuntia cylindrica
Austrocylindropuntia subulata
Cereus fernambucensis
Cereus hildmannianus
Cylindropuntia fulgida
Cylindropuntia kleiniae
Cylindropuntia prolifera
Cylindropuntia spinosior
Cylindropuntia tunicata
Echinopsis oxygona
Epiphyllum phyllanthus
Harrisia martinii
Harrisia pomanensis
Harrisia regelii
Harrisia tortuosa
Hylocereus undatus
Nopalea dejecta
Opuntia aurantiaca
Opuntia elata
Opuntia elatior
Opuntia engelmannii
Opuntia humifusa
Opuntia leucotricha
Opuntia microdasys
Opuntia monacantha
Opuntia phaeacantha
Opuntia polyacantha
Opuntia puberula
Opuntia robusta
Opuntia schickendantzii
Opuntia streptacantha
Opuntia sulphurea
Opuntia tomentosa
Peniocereus serpentinus
Pereskia aculeata
Selenicereus pteranthus
Agrostemma githago
Cerastium comatum
Cerastium diffusum
Cerastium pumilum
Cerastium semidecandrum
Corrigiola litoralis
Dianthus armeria
Dianthus plumarius
Gypsophila paniculata
Illecebrum verticillatum
Moenchia erecta
Paronychia argentea
Paronychia brasiliana
Paronychia franciscana
Petrorhagia dubia
Petrorhagia dubia x nanteuilii
Polycarpon prostratum
Polycarpon tetraphyllum
Psammophiliella tubulosa
Sabulina mediterranea
Sabulina tenuifolia
Sagina apetala
Sagina maritima
Saponaria calabrica
Silene aegyptiaca
Silene apetala
Silene conica
Silene dichotoma
Silene dioica
Silene gracilis
Silene noctiflora
Silene nocturna
Silene pendula
Silene pseudoatocion
Silene schafta
Silene tridentata
Spergula levis
Spergula pentandra
Spergularia diandra
Spergularia rubra
Spergularia villosa
Stellaria graminea
Stellaria pallida
Portulacaria afra
Calandrinia ciliata
Calandrinia menziesii
Phytolacca dioica
Phytolacca icosandra
Phytolacca rivinoides
Rivina humilis
Limonium binervosum
Limonium companyonis
Limonium hyblaeum
Limonium myrianthum
Limonium otolepis
Limonium sinuatum
Limonium thouinii
Plumbago auriculata
Muehlenbeckia complexa
Persicaria filiformis
Persicaria glabra
Persicaria strigosa
Polygonum argyrocoleon
Polygonum bellardii
Polygonum patulum
Rumex bucephalophorus
Rumex frutescens
Rumex pratensis
Rumex sagittatus
Rumex vesicarius
Triplaris americana
Portulaca pilosa
Talinum paniculatum
Tamarix aphylla
Tamarix indica
Euonymus europaeus
Cornus capitata
Benincasa pruriens
Cucumis metuliferus
Cucumis myriocarpus
Cucumis zeyheri
Cucurbita maxima
Sechium edule
Sambucus nigra
Viburnum suspensum
Viburnum tinus
Abelia grandiflora
Centranthus macrosiphon
Centranthus ruber
Dipsacus sylvestris
Fedia graciliflora
Leycesteria formosa
Lonicera americana
Sixalix atropurpurea
Valerianella discoidea
Valerianella eriocarpa
Valerianella locusta
Valerianella rimosa
Impatiens walleriana
Arbutus unedo
Calluna vulgaris
Erica arborea
Erica baccans
Erica caffra
Erica canaliculata
Erica cruenta
Erica glandulosa
Erica hirtiflora
Erica holosericea
Erica lusitanica
Erica mauritanica
Erica melanthera
Erica peziza
Erica quadrangularis
Erica scoparia
Erica simulans
Erica subulata
Erica vestita
Rhododendron ponticum
Cobaea scandens
Collomia grandiflora
Gilia tricolor
Navarretia squarrosa
Ardisia crispa
Ardisia elliptica
Lysimachia fortunei
Lysimachia japonica
Lysimachia nummularia
Lysimachia vulgaris
Parathesis crenulata
Samolus valerandi
Chrysophyllum cainito
Camellia sinensis
Escallonia bifida
Acacia baileyana x decurrens
Acacia baileyana x leucoclada
Adenocarpus complicatus
Aeschynomene americana
Aeschynomene brasiliana
Aeschynomene brevifolia
Aeschynomene micranthos
Aeschynomene paniculata
Aeschynomene villosa
Alhagi maurorum
Alysicarpus bupleurifolius
Alysicarpus glumaceus
Alysicarpus ovalifolius
Anagyris foetida
Anthyllis barba-jovis
Anthyllis vulneraria
Astragalus hamosus
Astragalus sesameus
Astragalus vogelii
Bauhinia acuminata
Bauhinia galpinii
Bauhinia purpurea
Bauhinia variegata
Calicotome spinosa
Calliandra haematocephala
Calliandra houstoniana
Calliandra riparia
Cassia grandis
Centrosema brasilianum
Centrosema molle
Centrosema pascuorum
Centrosema plumieri
Ceratonia siliqua
Chamaecrista rotundifolia
Clitoria laurifolia
Clitoria ternatea
Codariocalyx motorius
Coronilla vaginalis
Crotalaria agatiflora
Crotalaria distans
Crotalaria goreensis
Crotalaria grahamiana
Crotalaria incana
Crotalaria juncea
Crotalaria laburnifolia
Crotalaria lanceolata
Crotalaria micans
Crotalaria ochroleuca
Crotalaria pallida
Crotalaria prostrata
Crotalaria senegalensis
Crotalaria spectabilis
Crotalaria trichotoma
Cytisus multiflorus
Desmodium heterophyllum
Desmodium incanum
Desmodium scorpiurus
Desmodium strigillosum
Dichrostachys cinerea
Dorycnium rectum
Echinospartum horridum
Erythrina acanthocarpa
Erythrina crista-galli
Erythrina sykesii
Flemingia macrophylla
Genista canariensis
Genista linifolia
Genista stenopetala
Glycine max
Glycyrrhiza glabra
Hedysarum coronarium
Indigofera arrecta
Indigofera circinella
Indigofera cordifolia
Indigofera decora
Indigofera glandulosa
Indigofera oblongifolia
Kummerowia striata
Lablab purpureus
Lathyrus angulatus
Lathyrus aphaca
Lathyrus nissolia
Lathyrus odoratus
Lathyrus sphaericus
Lathyrus sylvestris
Lathyrus tingitanus
Lessertia frutescens
Lotononis bainesii
Lotus angustissimus
Lotus corniculatus
Lotus creticus
Lotus preslii
Lotus subbiflorus
Lotus tenuis
Lotus tetragonolobus
Lupinus albus
Lupinus angustifolius
Lupinus arboreus
Lupinus luteus
Lupinus pilosus
Macroptilium gracile
Macroptilium lathyroides
Macrotyloma axillare
Medicago arborea
Medicago intertexta
Medicago laciniata
Medicago littoralis
Medicago monspeliaca
Medicago orbicularis
Medicago praecox
Medicago rugosa
Medicago scutellata
Medicago truncatula
Mimosa diplotricha
Mimosa pigra
Mimosa pudica
Mimosa rubicaulis
Mucuna pruriens
Neonotonia wightii
Neptunia plena
Ononis alopecuroides
Ononis spinosa
Ornithopus compressus
Ornithopus perpusillus
Ornithopus pinnatus
Ornithopus sativus
Pachyrhizus erosus
Parkia biglobosa
Podalyria sericea
Prosopis glandulosa
Prosopis glandulosa x velutina
Prosopis pallida
Prosopis velutina
Psoralea pinnata
Pterocarpus indicus
Pueraria montana
Retama monosperma
Retama raetam
Schotia brachypetala
Securigera varia
Senegalia rugata
Senna bicapsularis
Senna corymbosa
Senna didymobotrya
Senna multiglandulosa
Senna multijuga
Senna pendula
Senna tora
Sesbania punicea
Sindora supa
Stylosanthes hamata
Stylosanthes humilis
Stylosanthes scabra
Stylosanthes viscosa
Tamarindus indica
Tephrosia glomeruliflora
Tephrosia grandiflora
Tephrosia inandensis
Tephrosia nana
Tephrosia noctiflora
Tephrosia tinctoria
Tephrosia vogelii
Teramnus labialis
Tipuana tipu
Trifolium ambiguum
Trifolium angustifolium
Trifolium cernuum
Trifolium cherleri
Trifolium fragiferum
Trifolium globosum
Trifolium glomeratum
Trifolium hirtum
Trifolium incarnatum
Trifolium lappaceum
Trifolium ligusticum
Trifolium medium
Trifolium michelianum
Trifolium micranthum
Trifolium microdon
Trifolium ornithopodioides
Trifolium pilulare
Trifolium resupinatum
Trifolium rubens
Trifolium scabrum
Trifolium spumosum
Trifolium squamosum
Trifolium stellatum
Trifolium striatum
Trifolium subterraneum
Trifolium suffocatum
Trifolium tomentosum
Trifolium uniflorum
Trifolium vesiculosum
Vachellia erioloba
Vachellia sieberiana
Vicia benghalensis
Vicia cracca
Vicia disperma
Vicia monantha
Vicia tetrasperma
Vigna adenantha
Vigna caracalla
Vigna hosei
Vigna parkeri
Vigna trilobata
Vigna umbellata
Vigna unguiculata
Vigna vexillata
Muraltia heisteria
Polygala duarteana
Polygala glomerata
Polygala monspeliaca
Polygala paniculata
Polygala virgata
Polygala vulgaris
Alnus glutinosa
Alnus rubra
Betula nigra
Betula pubescens
Quercus canariensis
Quercus palustris
Juglans regia
Morella faya
Allamanda blanchetii
Carissa macrocarpa
Catharanthus roseus
Ceropegia gigantea
Ceropegia mixta
Chonemorpha fragrans
Cryptostegia grandiflora
Cryptostegia madagascariensis
Gomphocarpus cancellatus
Hoya serpens
Mandevilla laxa
Nerium oleander
Oxypetalum coeruleum
Rauvolfia tetraphylla
Gelsemium sempervirens
Blackstonia perfoliata
Centaurium erythraea
Centaurium maritimum
Centaurium tenuiflorum
Cicendia filiformis
Microcala quadrangularis
Obolaria virginica
Asperula arvensis
Coffea arabica
Coffea liberica
Coprosma repens
Coprosma robusta
Galium divaricatum
Galium murale
Galium palustre
Galium spurium
Galium tricornutum
Mitracarpus hirtus
Mussaenda frondosa
Neonauclea purpurea
Oldenlandia corymbosa
Paederia foetida
Pentas lanceolata
Richardia brasiliensis
Richardia humistrata
Richardia stellaris
Spermacoce exilis
Spermacoce remota
Spermacoce verticillata
Erodium aureum
Erodium botrys
Erodium brachycarpum
Geranium aequale
Geranium robertianum
Geranium rotundifolium
Geranium sanguineum
Geranium sibiricum
Geranium yeoi
Pelargonium alchemilloides
Pelargonium capitatum
Pelargonium fragrans
Pelargonium panduriforme
Pelargonium quercifolium
Melianthus comosus
Melianthus major
Gunnera tinctoria
Acanthus mollis
Andrographis paniculata
Asystasia gangetica
Barleria cristata
Barleria lupulina
Barleria prionitis
Barleria strigosa
Brillantaisia lamium
Crossandra infundibuliformis
Dicliptera raui
Dyschoriste nagchana
Eranthemum pulchellum
Hemigraphis reptans
Hygrophila costata
Hygrophila difformis
Hygrophila polysperma
Hygrophila triflora
Hypoestes aristata
Hypoestes phyllostachya
Justicia betonica
Justicia pacifica
Ruellia squarrosa
Ruellia tuberosa
Sanchezia parvibracteata
Strobilanthes alternata
Thunbergia annua
Thunbergia grandiflora
Thunbergia laurifolia
Thunbergia mysorensis
Thyrsacanthus tubaeformis
Amphilophium carolinae
Amphilophium crucigerum
Bignonia magnifica
Campsis tagliabuana
Crescentia cujete
Jacaranda mimosifolia
Parmentiera aculeata
Pyrostegia venusta
Radermachera sinica
Spathodea campanulata
Tecoma capensis
Tecoma fulva
Calceolaria tripartita
Ajuga iva
Ajuga reptans
Ballota nigra
Cedronella canariensis
Clerodendrum paniculatum
Clerodendrum thomsoniae
Clinopodium vulgare
Dracocephalum moldavica
Glechoma hederacea
Gmelina arborea
Gmelina asiatica
Gmelina elliptica
Hyptis capitata
Lamium purpureum
Lavandula angustifolia
Lavandula dentata
Lavandula multifida
Lavandula stoechas
Leonotis leonurus
Leonotis nepetifolia
Leonurus cardiaca
Leonurus sibiricus
Leucas cephalotes
Leucas decemdentata
Leucas martinicensis
Leucas zeylanica
Moluccella laevis
Nepeta cataria
Ocimum basilicum
Ocimum tenuiflorum
Origanum vulgare
Ovieda grandiflora
Physostegia virginiana
Plectranthus caninus
Plectranthus ciliatus
Plectranthus ecklonii
Plectranthus fruticosus
Plectranthus neochilus
Plectranthus oertendahlii
Plectranthus ornatus
Plectranthus verticillatus
Prunella laciniata
Rosmarinus officinalis
Rotheca myricoides
Salvia aethiopis
Salvia aurea
Salvia coccinea
Salvia involucrata
Salvia leucantha
Salvia misella
Salvia reflexa
Salvia viridis
Scutellaria racemosa
Sideritis lanata
Stachys byzantina
Stachys germanica
Stachys palustris
Stachys sylvatica
Teucrium scorodonia
Thymus vulgaris
Utricularia gibba
Martynia annua
Proboscidea louisianica
Fraxinus angustifolia
Fraxinus excelsior
Fraxinus griffithii
Fraxinus ornus
Jasminum mesnyi
Jasminum multiflorum
Jasminum polyanthum
Phillyrea angustifolia
Phillyrea latifolia
Bellardia trixago
Bellardia viscosa
Castilleja attenuata
Orobanche artemisiae-campestris
Orobanche minor
Parentucellia latifolia
Phelipanche mutelii
Triphysaria pusilla
Paulownia kawakamii
Sesamum indicum
Erythranthe guttata
Erythranthe moschata
Angelonia salicariifolia
Callitriche marginata
Callitriche stagnalis
Kickxia elatine
Kickxia spuria
Linaria dalmatica
Linaria genistifolia
Linaria incarnata
Linaria maroccana
Linaria nigricans
Linaria pelisseriana
Lophospermum erubescens
Mecardonia procumbens
Misopates orontium
Plantago albicans
Plantago australis
Plantago bellardii
Plantago coronopus
Plantago cretica
Plantago triandra
Russelia equisetiformis
Scoparia dulcis
Veronica catenata
Veronica elliptica
Veronica hederifolia
Veronica officinalis
Veronica scutellata
Veronica speciosa
Buddleja asiatica
Buddleja dysophylla
Buddleja globosa
Buddleja lindleyana
Buddleja madagascariensis
Buddleja stachyoides
Dischisma arenarium
Dischisma capitatum
Hebenstretia dentata
Nemesia strumosa
Phygelius capensis
Phyllopodium cordatum
Polycarena rariflora
Scrophularia auriculata
Scrophularia californica
Scrophularia nodosa
Selago canescens
Selago corymbosa
Verbascum blattaria
Verbascum creticum
Verbascum sinuatum
Zaluzianskya divaricata
Polypremum procumbens
Citharexylum spinosum
Glandularia tenera
Lantana montevidensis
Lippia alba
Phyla nodiflora
Stachytarpheta cayennensis
Stachytarpheta cayennensis x jamaicensis
Stachytarpheta jamaicensis
Stachytarpheta mutabilis
Stachytarpheta trimenii
Verbena bonariensis
Verbena brasiliensis
Verbena incompta
Verbena incompta x litoralis
Verbena litoralis
Verbena officinalis
Verbena rigida
Verbena supina
Verbena urticifolia
Annona glabra
Garcinia xanthochymus
Erythroxylum coca
Chrozophora tinctoria
Codiaeum variegatum
Croton capitatus
Croton glandulosus
Croton hirtus
Euphorbia cyparissias
Euphorbia davidii
Euphorbia dendroides
Euphorbia exigua
Euphorbia falcata
Euphorbia helioscopia
Euphorbia heterophylla
Euphorbia hyssopifolia
Euphorbia marginata
Euphorbia milii
Euphorbia paralias
Euphorbia peplus
Euphorbia segetalis
Euphorbia terracina
Euphorbia tirucalli
Euphorbia umbellata
Hevea brasiliensis
Homalanthus novoguineensis
Hura crepitans
Jatropha podagrica
Manihot carthaginensis
Manihot grahamii
Micrococca mercurialis
Triadica sebifera
Harungana madagascariensis
Hypericum androsaemum
Hypericum calycinum
Hypericum canariense
Hypericum elodes
Hypericum grandifolium
Hypericum humifusum
Hypericum hypericoides
Hypericum inodorum
Hypericum kouytchense
Hypericum moseranum
Hypericum patulum
Hypericum tetrapterum
Hypericum triquetrifolium
Triadenum japonicum
Linum bienne
Linum strictum
Linum trigynum
Reinwardtia indica
Bunchosia glandulifera
Hiptage benghalensis
Malpighia glabra
Ochna serrulata
Passiflora caerulea
Passiflora coccinea
Passiflora filamentosa
Passiflora laurifolia
Passiflora morifolia
Passiflora quadrangularis
Passiflora sanguinolenta
Passiflora suberosa
Passiflora subpeltata
Passiflora tarminiana
Passiflora tripartita
Phyllanthus debilis
Phyllanthus emblica
Flacourtia jangomas
Populus tremula
Populus yunnanensis
Salix alba x matsudana
Salix calodendron
Salix cinerea
Salix discolor
Salix humboldtiana
Salix matsudana x alba
Salix myricoides
Salix nigra
Salix pendulina
Salix purpurea
Salix triandra
Turnera subulata
Turnera ulmifolia
Hybanthus attenuatus
Viola riviniana
Cistus inflatus
Cistus monspeliensis
Abelmoschus manihot
Anoda cristata
Callianthe picta
Ceiba pentandra
Corchorus aestuans
Corchorus olitorius
Corchorus trilocularis
Gossypium barbadense
Gossypium herbaceum
Gossypium thurberi
Grewia asiatica
Grewia caffra
Guazuma ulmifolia
Hibiscus cannabinus
Hibiscus rosa-sinensis
Hibiscus sabdariffa
Malachra capitata
Malachra fasciata
Malva arborea
Malva assurgentiflora
Malva davaei
Malva multiflora
Malva nicaeensis
Malva trimestris
Malva verticillata
Malvastrum americanum
Malvastrum coromandelianum
Malvaviscus arboreus
Malvella leprosa
Melochia pyramidata
Modiola caroliniana
Pavonia coccinea
Pavonia hastata
Sida acuta
Sida spinosa
Sida subcordata
Sphaeralcea bonariensis
Triumfetta pentandra
Triumfetta pilosa
Muntingia calabura
Neurada procumbens
Gnidia squarrosa
Thymelaea passerina
Combretum paniculatum
Ammannia auriculata
Cuphea carthagenensis
Cuphea hyssopifolia
Cuphea ignea
Heimia salicifolia
Lythrum junceum
Rotala indica
Rotala rotundifolia
Clidemia hirta
Heterotis rotundifolia
Melastoma malabathricum
Miconia racemosa
Tibouchina urvilleana
Eugenia brasiliensis
Metrosideros excelsa
Myrtus communis
Psidium cattleianum
Psidium guajava x guineense
Rhodomyrtus tomentosa
Epilobium ciliatum
Epilobium nummularifolium
Epilobium obscurum
Epilobium rotundifolium
Epilobium tetragonum
Fuchsia magellanica
Ludwigia longifolia
Ludwigia palustris
Ludwigia peploides
Ludwigia peruviana
Ludwigia repens
Oenothera acaulis
Oenothera affinis
Oenothera curtiflora
Oenothera drummondii
Oenothera indecora
Oenothera jamesii
Oenothera laciniata
Oenothera lindheimeri
Oenothera longiflora
Oenothera mollissima
Oenothera rosea
Oenothera speciosa
Oenothera stricta
Oenothera triloba
Cabomba caroliniana
Nymphaea alba
Nymphaea mexicana
Nymphaea nouchali
Nymphaea odorata
Oxalis articulata
Oxalis bifurca
Oxalis bowiei
Oxalis brasiliensis
Oxalis caprina
Oxalis compressa
Oxalis depressa
Oxalis flava
Oxalis glabra
Oxalis hirta
Oxalis incarnata
Oxalis latifolia
Oxalis magellanica
Oxalis obtusa
Oxalis perdicaria
Oxalis polyphylla
Oxalis valdiviensis
Oxalis violacea
Aristolochia odoratissima
Aristolochia ringens
Peperomia pellucida
Piper aduncum
Houttuynia cordata
Platanus hispanica
Grevillea juniperina x victoriae
Grevillea lavandulacea subsp. lavandulacea x rosmarinifolia
Protea repens
Berberis aristata
Berberis darwinii
Berberis vulgaris
Mahonia leschenaultii
Nandina domestica
Akebia quinata
Argemone ochroleuca
Argemone subfusiformis
Fumaria bastardii
Fumaria capreolata
Fumaria densiflora
Fumaria indica
Fumaria parviflora
Fumaria vaillantii
Glaucium corniculatum
Glaucium flavum
Hypecoum pendulum
Papaver aculeatum
Papaver argemone
Papaver dubium
Papaver hybridum
Platycapnos spicata
Roemeria hybrida
Romneya coulteri
Romneya trichocalyx
Adonis microcarpa
Clematis flammula
Consolida ajacis
Ficaria verna
Nigella damascena
Ranunculus acris
Ranunculus aquatilis
Ranunculus arvensis
Ranunculus muricatus
Ranunculus ophioglossifolius
Ranunculus parviflorus
Ranunculus sardous
Ranunculus sceleratus
Ranunculus trilobus
Celtis sinensis
Humulus lupulus
Artocarpus heterophyllus
Castilla elastica
Ficus pumila
Noltea africana
Rhamnus alaternus
Ziziphus jujuba
Ziziphus mucronata
Ziziphus spina-christi
Agrimonia eupatoria
Alchemilla xanthochlora
Aphanes microcarpa
Aruncus dioicus
Cormus domestica
Cotoneaster coriaceus
Cotoneaster divaricatus
Cotoneaster franchetii
Cotoneaster glaucophyllus
Cotoneaster microphyllus
Cotoneaster pannosus
Cotoneaster rotundifolius
Cotoneaster salicifolius
Cotoneaster simonsii
Crataegus azarolus
Crataegus crus-galli
Crataegus laevigata
Crataegus sinaica
Photinia glabra
Photinia serratifolia
Potentilla anglica
Potentilla recta
Potentilla reptans
Potentilla supina
Prunus laurocerasus
Prunus munsoniana
Prunus padus
Prunus salicina
Prunus serrulata
Prunus spinosa
Pyracantha crenulata
Pyracantha fortuneana
Pyracantha koidzumii
Pyrus calleryana
Pyrus communis
Pyrus ussuriensis
Rhaphiolepis indica
Rosa bracteata
Rosa canina
Rosa chinensis
Rosa chinensis x moschata
Rosa chinensis x multiflora
Rosa gallica
Rosa laevigata
Rosa luciae
Rosa odorata
Rosa roxburghii
Rubus alceifolius
Rubus anglocandicans
Rubus cissburiensis
Rubus echinatus
